plotID,P_avail_mg_g,K_avail_mg_g
NPL6,0.00040856,0.274274575
NPL6,-0.02150628,-0.02322439
NPL6,-0.01012326,0.04347731
NPL6,-0.03105761,-0.207885661
NPL6,-0.02102341,-0.037377975
NPL6,-0.01417878,-0.21504065
NPL6,-0.01621895,-0.247961419
NPL7,-0.01682033,0.211013525
NPL7,-0.01242474,0.274665558
NPL7,0.02235179,0.356498299
NPL7,0.01493687,0.308368292
NPL7,-0.00447131,0.216448189
NPL7,-0.01723163,0.165112121
NPL7,0.00331121,0.321818107
NPL7,0.00399794,0.442631854
NPL7,0.00049735,0.521805912
NPL7,0.00848851,0.428556466
NPL7,0.00148699,0.550034884
NPL7,0.01148702,0.437822763
NPL7,-0.00826758,0.154281892
NPL7,0.01059174,0.42179246
NPL7,-0.01098678,0.374444419
NPL7,0.01050662,0.243074131
NPL7,-0.01117717,0.358179526
NPL7,-0.00833602,0.270403843
NPL7,0.00384211,0.277519733
NPL7,-0.01329151,0.263600739
NPL8,-0.01847052,0.710807094
NPL8,-0.01603146,0.619942645
NPL8,-0.03614234,0.52943008
NPL8,-0.01562546,0.16628507
NPL8,0.01055019,0.742906798
NPL8,0.00049943,0.373897043
NPL8,0.00302963,0.449786843
NPL8,0.00290349,0.538149001
NPL8,-0.00349415,0.772386917
NPL8,0.00923855,0.780558461
NPL9,-0.00818198,0.7014626
NPL9,-0.00281997,0.640469252
NPL9,0.01827661,0.75322875
NPL9,-0.00146547,0.67479756
NPL9,-0.03813825,0.29691249
NPL9,-0.0165561,0.890541979
NPL9,-0.00783053,0.033038064
NPL9,-0.01823822,0.513634367
NPL9,0.0652339,-0.200066001
NPL9,-0.02208971,0.425780487
UPL1,0.05631638,0.890659274
UPL1,0.04465827,1.186086029
UPL1,0.0591541,1.147847891
UPL1,-0.00955512,1.231674647
UPL1,0.05421536,2.0193099
UPL1,0.03966877,2.650082774
UPL1,0.04805213,2.545651215
UPL1,0.03764604,1.200669695
UPL1,0.04308003,1.167631631
UPL1,0.01747746,2.011529338
UPL1,0.02310928,1.489723427
UPL1,0.02934306,1.248213228
UPL1,0.02534165,1.162392459
UPL1,0.03543405,1.207824684
UPL1,0.04390989,1.184991276
UPL1,0.03409517,1.248369621
UPL1,0.04526654,1.02875447
UPL1,0.021305,1.614798888
UPL10,0.01561048,2.462880114
UPL10,0.04913398,2.016299331
UPL10,0.01625871,1.552749886
UPL10,0.01201528,1.178070877
UPL10,0.01890746,1.636459347
UPL10,0.02831754,1.861157277
UPL10,-0.00758155,1.293723649
UPL10,0.02725125,1.546846043
UPL10,0.00916827,0.925495859
UPL10,0.00388464,1.061479747
UPL11,0.07689414,2.223207535
UPL11,0.03117035,2.492047445
UPL11,0.03890567,2.66603488
UPL11,0.08201972,1.707344564
UPL11,-0.02983096,2.037764298
UPL11,0.0033176,1.337943826
UPL11,0.03070925,2.294170949
UPL11,-0.00771448,1.467554691
UPL11,0.00298841,1.671843308
UPL11,-0.01121505,1.446050626
UPL11,0.00327723,1.695654173
UPL11,-0.01630753,1.712075459
UPL11,0.04810006,1.394910049
UPL11,0.01826236,1.603812266
UPL11,0.00149447,1.57358928
UPL11,0.06732059,1.571868955
UPL11,0.13978304,1.971922761
UPL11,0.09124869,1.552867181
UPL11,0.10298159,1.548644565
UPL11,0.09876686,1.599198667
UPL11,0.08070207,1.486595563
UPL12,0.05724233,2.411504947
UPL12,0.02570609,1.912688836
UPL12,-0.00909211,1.146323058
UPL12,0.05765609,2.083509309
UPL12,0.06003856,2.328851141
UPL12,-0.00756719,1.415788541
UPL12,-0.00775007,1.286920545
UPL12,0.01965098,1.698625644
UPL12,0.00310396,0.939649444
UPL12,-0.06787828,1.214745083
UPL12,0.00768537,1.134945452
UPL12,0.01969832,1.34498152
UPL12,-0.05768531,1.386269325
UPL12,0.06022663,1.733305836
UPL12,-0.00049198,1.701479819
UPL12,-0.04467259,0.82911855
UPL12,0.01737377,1.244811675
UPL12,0.00276051,1.440068586
UPL12,-0.043108,1.197620027
UPL13,0.06945971,2.363453137
UPL13,0.03545234,2.556950623
UPL13,0.04919094,2.529972796
UPL13,0.05115643,2.692074348
UPL13,0.06364006,2.296204061
UPL13,0.09484825,2.403059715
UPL13,0.06380562,2.237556611
UPL13,0.0546185,1.405310197
UPL13,0.06728207,1.751682037
UPL13,0.08106827,1.923910048
UPL13,0.06967187,2.699933107
UPL13,0.04556122,1.970515222
UPL13,0.07174529,1.921016774
UPL13,0.08082477,2.553822759
UPL13,0.06164226,1.870775458
UPL13,0.05676056,1.525615666
UPL13,0.0435032,1.84981877
UPL13,0.0510141,1.478111232
UPL13,0.06422636,1.973603987
UPL13,0.05444267,1.672781667
UPL13,0.06509303,1.621406501
UPL13,0.06380194,1.651668585
UPL13,0.05890456,1.535546634
UPL13,0.05286354,1.500397263
UPL13,0.02792045,1.501922096
UPL13,0.03270275,1.348070286
UPL13,0.04131946,1.381303841
UPL13,0.0505551,1.523269768
UPL13,0.06523034,1.508842495
UPL13,0.04440016,1.520298297
UPL2,0.0600885,0.786853288
UPL2,0.04765043,0.710572504
UPL2,0.04972349,2.575561414
UPL2,0.01410799,2.258005022
UPL2,0.02444125,1.570774203
UPL2,0.03370207,1.114809828
UPL2,0.05182393,0.564305764
UPL2,0.03694828,0.764371765
UPL2,0.03098724,0.923423649
UPL2,0.04562088,0.936482482
UPL3,0.05907495,1.055810493
UPL3,0.05066752,1.021834071
UPL3,0.05605955,1.089786916
UPL3,0.00107078,1.273118845
UPL3,0.07438203,3.121178191
UPL3,0.07104446,2.978156609
UPL3,0.07077777,2.55726341
UPL3,0.08668449,3.104287725
UPL3,0.06837193,2.530481074
UPL3,0.08771542,2.709003912
UPL3,0.08195939,2.672447002
UPL3,0.04972418,2.453809308
UPL3,0.11199785,2.593703025
UPL3,0.09979205,2.7230793
UPL3,0.01113496,1.214823279
UPL3,0.0491406,0.9153694
UPL3,0.07857276,1.048538209
UPL4,0.03144261,1.002167626
UPL4,0.02815136,0.99931345
UPL4,0.03318844,1.132130375
UPL4,0.02622351,1.437331705
UPL4,0.03017066,1.019409976
UPL4,0.01752762,1.991901992
UPL4,0.04037307,1.823036434
UPL4,0.02572552,0.771135771
UPL4,0.02343027,0.850544418
UPL4,0.01872385,1.07567243
UPL5,0.03416766,0.726641906
UPL5,0.0361013,1.046309606
UPL5,0.02782807,0.827671913
UPL5,0.02240641,1.00482631
UPL5,0.02775156,1.085759791
UPL5,0.0208811,1.128025053
UPL5,0.02599828,1.07751005
UPL5,0.02385538,1.260959273
UPL5,0.03358359,1.166145896
UPL5,0.02427136,2.207372723
UPL5,0.03741203,2.085151437
UPL5,0.01787261,1.306860678
UPL5,0.02900482,1.677708053
UPL5,0.02570734,1.773537986
UPL5,0.01212044,2.073382849
UPL5,0.02578233,0.813205542
UPL5,0.01967494,0.743727863
UPL5,0.02884923,1.184326605
UPL5,0.02616625,0.869858978
UPL5,0.01456413,1.050610419
UPL5,0.02451657,1.195391424
UPL6,0.02545211,1.034580116
UPL6,0.02197759,1.173261786
UPL6,0.02355278,1.129784477
UPL6,0.02812907,1.944241164
UPL6,0.01628081,1.44640251
UPL6,0.03649899,1.667777085
UPL6,0.0137272,0.742085734
UPL6,0.03848233,0.68238263
UPL6,0.00502352,0.914470139
UPL7,0.0499795,1.788121652
UPL7,0.01345431,1.795159346
UPL7,0.04542779,1.105582629
UPL7,0.02909613,0.946569843
UPL7,0.04520345,1.4305286
UPL7,0.03306228,0.656108572
UPL7,0.01748954,0.629990908
UPL7,0.02657899,0.538735476
UPL7,0.01010709,-0.21550983
UPL7,0.0068977,-0.309267553
UPL7,0.01226781,0.098371323
UPL7,0.03285515,0.476139097
UPL7,0.00761473,-0.025452993
UPL7,-0.00032904,-0.173596452
UPL7,0.02172569,0.282524316
UPL7,0.01388136,0.177428085
UPL7,0.02945795,0.275955801
UPL7,-0.00470183,-0.032998965
UPL7,0.01388299,-0.163665484
UPL7,-0.02369979,-0.496431115
UPL8,0.03591408,1.230384403
UPL8,0.03495949,1.521705836
UPL8,0.02815947,0.685080413
UPL8,0.02087964,0.452015446
UPL8,0.02417398,0.330224242
UPL8,0.01973852,0.217503843
UPL8,0.01038659,0.161397782
UPL8,0.00221931,0.063573836
UPL9,-0.0061473,0.274548263
UPL9,0.04183591,1.003966147
UPL9,0.01229531,0.987505763
UPL9,0.02599698,1.295795859
UPL9,0.02536301,1.892279523
UPL9,-0.00030116,0.333430302
UPL9,0.00137335,0.575566074
UPL9,-0.00883666,0.179461197
