plotID,region,Ca_mg_kg_dry_weight,K_mg_kg_dry_weight,Mg_mg_kg_dry_weight,P_mg_kg_dry_weight,litter_C,litter_N,N_mass,C_mass,P,K,CN,NP,Mg,Ca,tracer,lit_N_adj,lit_K_adj,lit_P_adj,lit_Mg_adj,N_resorp,K_resorp,P_resorp,Mg_resorp,NP_resorp,NK_resorp,NMg_resorp
NPL4,Sedim,7.91411417925,1.9942630012500002,1.55207814125,0.32259413135000004,478.5,16.5,18.41848437,483.2660509,1.363374964,7.280973783,26.238100876918132,13.509478211307394,1.943684958,4.079847661,0.51551539042701,8.506003942045664,1.0280732697035346,0.1663022395723574,0.8001201689597217,53.818111353938384,85.88000313771306,87.80216419080749,58.83488393185776,0.6129474352930917,0.6266663878392998,0.9147313253183302
NPL6,Sedim,5.75033119425,4.7330590455,0.74047500275,0.250478138025,472.25,17.5,21.58060492,481.726835,0.937440558,7.637133086,22.32221185577406,23.020771542082137,2.04812,5.078020949,0.8830832133769492,15.45395623409661,4.179684991002976,0.22119303900779202,0.6539010448537753,28.389605892027003,45.271544387972504,76.40457977626865,68.07310876053282,0.3715694265338378,0.6270960329678834,0.41704582630265635
NPL7,Sedim,5.61982377075,1.52929088175,1.60001321375,0.275991841725,515.0,20.0,20.00898266,499.3610722,0.968766051,5.979091497,24.95684466748396,20.654091500570143,1.704779909,4.364044572,0.7765447369922761,15.530894739845522,1.1875627855532398,0.21432001214435403,1.2424818402556603,22.380387830045123,80.13807304756754,77.8770104584978,27.117756744066583,0.28738118859829725,0.2792728472115969,0.8253038052250393
NPL8,Sedim,4.73338824225,1.3739123356,1.578666053,0.2093645716,475.5,18.25,21.60780878,480.4301063,0.848389719,5.977081757,22.23409653387353,25.469201589888666,1.841083279,3.954119403,0.8353676480001612,15.245459576002942,1.1477219163485801,0.17489638975205332,1.3187665476723078,29.44467562063023,80.79795520607632,79.38489990682532,28.37007631786178,0.3709102821215329,0.36442352464899846,1.0378779137119163
NPL9,Sedim,6.085434894,2.20483788,1.9351518269999999,0.25692228510000004,478.0,17.0,22.20311842,463.0454642,1.656500341,17.55162605,20.85497430770358,13.403630455395117,1.386326543,3.007361263,0.49419003167138315,8.401230538413513,1.0896089017474653,0.12696843221065315,0.9563327426740649,62.161934285564584,93.79197745756744,92.33513998952728,31.016776133812733,0.6732207726399184,0.6627638735273211,2.0041391154704553
UPL1,Felsic,23.056480150000002,6.3096462544,3.175840237,0.84860459872,423.8,23.2,25.82180592,500.3749115,1.862416015,20.29019728,19.377998310816828,13.864682064603057,2.346321715,11.88479917,0.5154645935841166,11.958778571151504,3.2523992421838392,0.43742562459281714,1.6370331970532894,53.68728814629901,83.97058837180592,76.51300133430085,30.2298066549118,0.7016753651020476,0.6393582465872674,1.7759719325752217
UPL10,Felsic,23.29918798,8.91242808575,4.4179337167499995,1.015972185675,433.0,26.75,26.48232759,532.7513257,0.932949973,11.0749188,20.117239464297406,28.38558160288408,2.125701862,11.16298831,0.4791149081926073,12.816323794152247,4.270077164077326,0.4867674204659202,2.1166979071017002,51.60423965530951,61.443715830428246,47.82491724602685,0.4235756226806118,1.0790241285696451,0.8398619607858089,121.83005086253652
UPL11,Felsic,21.2010829875,6.617071709499999,3.18446167425,0.688342614675,431.75,22.5,28.96401009,432.7869477,1.13477967,12.537311,14.942231630053959,25.52390640731165,2.488390091,14.19306267,0.6694498898178043,15.062622520900597,4.429797926841284,0.4608108875510781,2.131837516955683,47.9953829801314,64.66708110821145,59.39203884829218,14.32864466603909,0.8081113885099688,0.7421918873965835,3.3496108040062738
UPL12,Felsic,16.7309220375,6.53222286375,3.92411233175,0.5442982335250001,437.25,22.0,25.38148822,457.9488036,1.410728258,14.28737008,18.04263011020557,17.9917628190021,2.484648477,8.987408897,0.5371735566549166,11.817818246408166,3.5089373885831523,0.29238261798361265,2.1079293779595654,53.439222538984104,75.44028488843377,79.27434881058343,15.1618670619874,0.6741048440103965,0.7083645378329849,3.5245806021451394
UPL2,Felsic,21.923395760000002,7.220765254333333,3.1890413783333336,1.215094722,434.0,23.666666666666668,23.80466974,478.0530235,1.23448701,10.94862722,20.08232118829639,19.28304595120851,2.262068917,10.35459404,0.472307946878025,11.177954742779926,3.410424812162357,0.5738988934101446,1.5062095859096838,53.04301691698275,68.85066279421324,53.51114359557785,33.414513828904546,0.9912517908020605,0.7704067726337257,1.5874244703539264
UPL3,Felsic,23.63352143,8.4112994995,2.919354693,1.106177542725,437.75,22.5,21.64772463,421.107152,1.318443431,11.13041441,19.45272120730963,16.419153162741953,1.737972303,12.222003,0.5171469277737677,11.635805874909773,4.349877694751455,0.5720563177925694,1.5097353105668807,46.24928913413579,60.91899605424076,56.61123531415514,13.13237225007258,0.8169630794573312,0.7591932259185062,3.521777197100104
UPL4,Felsic,19.096865982,7.1354365161999995,3.7151753362,0.77844856026,465.0,24.6,33.04525045,494.723319,2.318265264,16.89153763,14.971086987177005,14.25430081844163,2.84217933,7.819307084,0.4094549907492774,10.072592772432223,2.921640092732727,0.31873964804004656,1.5211970829157146,69.51878822140316,82.70352790415134,86.25094146948118,46.47779375287644,0.8060061378692488,0.8405782677369151,1.4957420008151903
UPL5,Felsic,21.27092248,6.74492202625,3.914253691,0.7312338896,440.5,22.25,24.52855889,447.269422,2.52397049,19.83664388,18.23463922221482,9.718243136036032,4.142828329,11.04495602,0.5192513879162989,11.55334338113765,3.5023101235175274,0.37969421206623366,2.0324816617082457,52.8984012760415,82.34424056456102,84.95647181412832,50.939756603459166,0.6226529909548864,0.6424056001168307,1.0384502165534362
UPL6,Felsic,22.2459431925,6.4819739085000005,3.42998968925,0.8008291545749999,416.75,23.25,24.70164152,448.2562394,1.507145496,17.39492128,18.146819879847403,16.389686055897553,3.560013265,13.4008101,0.6023934334471353,14.005647327645894,3.9046985182560623,0.4824142240290008,2.06620326559558,43.30074251824097,77.5526519758067,67.99152933082176,41.96079868832792,0.6368549574397053,0.5583399331301921,1.031933229866899
UPL7,Felsic,20.2883072725,4.60853020225,3.74038478925,0.425377079325,451.0,22.5,27.96019743,469.7101515,1.901367849,17.83584849,16.79924301950825,14.705306732048355,3.02486887,12.36087715,0.6092611366722882,13.708375575126485,2.807798349411405,0.2591657228638876,2.278871088290192,50.97182124895144,84.25755662263195,86.36951166497359,24.66215276663573,0.5901598870521648,0.6049525204871676,2.066803402414603
UPL8,Felsic,19.8361735075,6.1766063835,4.1126126245000005,0.62089254855,449.25,23.5,29.53533013,450.7054525,1.159616211,10.66411464,15.259875224560425,25.469918279712633,2.133505586,8.173479018,0.412049179490673,9.683155718030815,2.545065592358028,0.25583826518190034,1.6945986574882084,67.21500766908538,76.13430014328851,77.93767776312154,20.572101211821792,0.8624199437064841,0.8828479087951608,3.267289372971788
UPL9,Felsic,24.066555434999998,4.790707729999999,3.9609548475,0.54701121015,438.0,23.0,28.74776378,460.207802,1.53049203,14.24998157,16.0084730597435,18.78334758789956,2.579187228,10.26717808,0.426616019385493,9.81216844586634,2.043792661811911,0.23336374503343438,1.6898067900061224,65.86806361372453,85.6575768061719,84.752371102943,34.48297309860428,0.7771825467126935,0.7689694953987832,1.9101619638589278
