region;plotID;slope;Species;N;C;P;CN;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si
Felsic;UPL1;PL;Markhamia Platycalyx;3.051;46.125;2519.69;15.1179941;12.10863241;183.0582334;19367.14;1686.31;9961.36;62.6;170.2;117.38;31.3;473.42
Felsic;UPL1;PL;Rauwolfia Vomitoria;2.141;60.377;2082.57;28.20037366;10.2805668;289.9158252;29461.15;2606.17;18601.45;155.5;320.85;236.21;104.33;456.67
Felsic;UPL1;PL;Uvariopsis Congnesis;3.269;43.2805;1467.33;13.28663;22.8504632;305.4912708;17846.565;1689.4;12537.585;102.35;335.45;156.965;53.165;1749.505
Felsic;UPL10;V;Aphania Senegalensis;2.109;46.178;1259.1;21.89568516;16.75005957;366.7540307;8370.21;1652.45;7066.76;53.99;161.97;104.12;107.98;291.15
Felsic;UPL10;V;Celtis Durandii;2.019;32.434;946.45;16.06438831;21.33234719;342.6911089;4253.16;2829.6;22017.53;208.37;204.48;173.32;288.22;1187.93
Felsic;UPL10;V;Chryssophylum Albidum;2.83;50.335;1107.87;17.78621908;25.54451335;454.3403107;22052.14;2171.73;19706.29;403.73;254.48;221.96;30.61;2550.59
Felsic;UPL10;V;Margrituria;2.941;63.458;675.56;21.57701462;43.53425306;939.3392149;8790.1;2059.69;6165.49;48.53;132.01;106.77;58.24;180.54
Felsic;UPL10;V;Rauwolfia Vomitoria;2.551;44.043;1972.92;17.26499412;12.93007319;223.2376376;21813.14;2103.05;8894.42;38.27;91.85;44.01;26.79;933.84
Felsic;UPL11;V;Aphania Senegalensis;2.137;64.211;1270.5;30.04726252;16.82014955;505.399449;16870.46;3240.88;18335.82;133.21;369.82;163.04;53.68;703.85
Felsic;UPL11;V;Banquetredendron Oblanceolatum;2.255333333;43.639;1014.27;21.95914343;21.67705036;455.515871;16696.66333;4126.166667;15596.17;109.8866667;219.8633333;163.1766667;95.24666667;292.0666667
Felsic;UPL11;V;Bersama Abyssinica;1.788;40.904;1274.31;22.87695749;14.03112273;320.9893982;4463.99;3645.07;26037.33;308.8;207.17;152.45;50.82;1571.39
Felsic;UPL11;V;Celtis Durandii;3.1695;37.0165;1100.695;11.97212935;30.65047741;348.2683335;12773.595;2418.5;15969.925;218.89;381.38;231.84;72.335;1237.445
Felsic;UPL11;V;Chryssophylum Albidum;2.8425;62.169;1193.62;21.95530375;24.89059941;569.5178406;11552;1521.485;8884.575;83.505;260.42;164.19;75.715;490.935
Felsic;UPL11;V;Dasylepis Eggelingii;2.686;42.079;2009.78;15.66604617;13.36464688;209.371175;13846.92;2915.88;7809.6;61.87;163.66;123.74;331.3;305.36
Felsic;UPL11;V;Funtumia Latifolia;1.748;48.022;940.15;27.47254005;18.59277775;510.7908313;4450.06;1037.2;1817.63;12.13;268.9;161.75;202.18;843.11
Felsic;UPL11;V;Tabernaemontana Holistii;2.25;71.394;957.15;31.73066667;23.50728726;745.9018963;16481.69;2682.75;5812.95;60.31;171.2;126.45;202.32;597.25
Felsic;UPL11;V;Uvariopsis Congnesis;3.4248;44.048;1382.554;12.86932859;25.10517097;323.106027;15716.366;2848.854;10846.544;210.03;181.438;118.08;254.67;1062.17
Felsic;UPL12;V;Aphania Senegalensis;2.029;43.556;1319.63;21.46673238;15.37552193;330.0622144;9116.01;5987.27;20413.12;422.91;199.71;129.22;127.26;497.31
Felsic;UPL12;V;Banquetredendron Oblanceolatum;1.784;46.31766667;1043.1;26.01576013;17.1645197;446.320057;8579.006667;1287.2;7567.706667;72.05333333;244.8633333;177.1433333;64.87666667;334.01
Felsic;UPL12;V;Celtis Durandii;2.255;35.511;870.09;15.74767184;25.91685918;408.1301934;7629.41;3444.11;20630.41;312.19;366.57;336.35;114.8;2777.44
Felsic;UPL12;V;Chryssophylum Albidum;2.887333333;49.345;1046.763333;17.15766593;31.4360166;549.070541;8092.036667;2339.766667;7638.016667;89.62;304.2233333;161.6833333;71.12333333;1074.37
Felsic;UPL12;V;Funtumia Latifolia;2.039;48.0015;1494.14;23.7639855;15.28427125;373.0819204;15472.545;1727.195;5378.395;70.95;179.435;99.2;165.505;542.61
Felsic;UPL12;V;Tabernaemontana Holistii;2.435;63.452;1449.66;26.05831622;16.79704207;437.7026337;15681.23;6289.64;11092.6;13.64;101.32;227.97;1046.32;249.4
Felsic;UPL12;V;Uvariopsis Congnesis;3.002666667;44.54566667;1755.896667;15.32849337;18.99907759;274.2897129;19731.22667;2897.033333;9067.516667;102.4866667;252.63;120.8166667;179.07;1878.303333
Felsic;UPL2;PL;Aphania Senegalensis;2.228;45.818;2252.22;20.56463196;9.89246166;203.4348332;12654.19;1946.8;3704.43;39.41;1131.03;285.71;147.78;384.24
Felsic;UPL2;PL;Celtis Durandii;2.3875;48.6495;910.6;22.5481901;25.58311205;534.8216857;10027.45;2322.155;12392.83;303.47;217.095;166.295;232.94;817.815
Felsic;UPL2;PL;Dasylepis Eggelingii;2.259;42.24;1107.26;18.69853918;20.40171233;381.4822174;15788.42;4335.98;14065.81;140.54;193.72;155.74;491.9;1889.75
Felsic;UPL2;PL;Uvariopsis Congnesis;3.646;43.898;1512.25;12.04004388;24.10977021;290.2826914;20128.64;2344.97;9409.34;102.13;212.11;161.04;68.74;1343.35
Felsic;UPL3;PL;Banquetredendron Oblanceolatum;2.077;46.046;1381.37;22.1694752;15.03579779;333.3357464;17053.53;1950.84;9929.3;38.48;240.49;155.84;515.61;871.53
Felsic;UPL3;PL;Cheatachme Aristata;2.801;38.155;1365.3;13.62192074;20.51563759;279.4623892;23984.94;3717.43;17035.57;338.85;194.19;112.95;59.45;970.97
Felsic;UPL3;PL;Ficus Brachypus;2.093;41.909;1254;20.02341137;16.69059011;334.2025518;7938.16;1349.43;10207.57;62.99;536.34;229.04;72.53;313.02
Felsic;UPL3;PL;Harrisonia Abyssinica;1.975;45.772;1573.73;23.1756962;12.54980206;290.8504;14219.93;1847.68;18080.44;120.46;613.95;254.52;71.89;880.12
Felsic;UPL4;UP;Aphania Senegalensis;2.052;69.249;1728.19;33.74707602;11.87369444;400.7024691;21278.94;1800.93;5225.85;55.05;167.12;60.95;33.42;1761.61
Felsic;UPL4;UP;Banquetredendron Oblanceolatum;1.925;56.116;1156.905;30.1531432;16.85638599;481.855893;13721.705;2361.115;16491.125;184.34;230.67;164.815;52.945;1059.84
Felsic;UPL4;UP;Celtis Durandii;2.7025;35.4215;889.315;13.61118222;31.2304302;405.3925211;4207.35;2088.47;14649.65;200.625;313.105;240.885;340.61;1953.385
Felsic;UPL4;UP;Chryssophylum Albidum;2.4615;55.3075;1013.44;22.54633469;26.87833812;583.149223;7316.78;1642.945;8095.99;48.41;246.13;211.495;317.155;400.86
Felsic;UPL4;UP;Monodora Angolensis;4.103;44.992;3416.8;10.9656349;12.00831187;131.6787638;23318.01;3763.15;6365.81;39.37;98.74;36.81;27.75;448.72
Felsic;UPL4;UP;Tabernaemontana Holistii;2.532;46.298;1465.09;18.28515008;17.28221474;316.0078903;6714.33;3903.63;20628.73;238.96;605.23;205.66;13.71;1913.62
Felsic;UPL4;UP;Uvariopsis Congnesis;3.356333333;51.41133333;1566.64;15.48978002;22.15642983;334.3655221;16079.99333;2315.14;6883.14;172.2233333;149.2333333;66.49666667;134.5833333;1272.176667
Felsic;UPL5;UP;Bosquecia Phaberas;3.098;45.8;1827.97;14.78373144;16.94776172;250.5511578;28265.4;5068.92;7576.7;19.76;171.93;308.29;349.79;339.9
Felsic;UPL5;UP;Celtis Durandii;5.867;43.266;1733.12;7.37446736;33.85224335;249.6422637;27160.33;1200.86;8617.05;61.63;270.8;102.72;26.15;967.41
Felsic;UPL5;UP;Chryssophylum Albidum;2.928;49.174;1182.72;16.79439891;24.75649351;415.7704275;16823.77;2495.33;5096.92;55.1;226.31;177.11;135.79;452.62
Felsic;UPL5;UP;Ehretia Cymosariter;1.675;41.73;5127.39;24.91343284;3.266769253;81.38643637;26334.89;5050.06;11297.71;91.21;231.98;132.84;25.78;1048.87
Felsic;UPL5;UP;Funtumia Latifolia;2.049;69.992;963.06;34.159102;21.27593296;726.7667643;18690.16;3774.97;8058.8;62.19;301.55;116.85;405.2;2548.06
Felsic;UPL5;UP;Lovoa Brownii;3.91;74.115;2103.9;18.95524297;18.58453349;352.2743476;22533.84;2412.42;7661.23;139.33;131.37;87.58;59.71;513.54
Felsic;UPL5;UP;Monodora Angolensis;3.038;43.464;1122.83;14.30678078;27.05663368;387.0933267;12876.77;2550.27;6058.13;49.77;181.17;115.47;437.99;258.81
Felsic;UPL5;UP;Pseudospondias Microcarpa;1.815;40.215;1415.33;22.15702479;12.8238644;284.1386814;6427.88;3726.59;19619.62;231.7;575.4;193.09;13.52;1562.08
Felsic;UPL5;UP;Tabernaemontana Holistii;3.005;44.786;3051.23;14.90382696;9.848487331;146.780151;21153.49;3621.62;5336.72;56.65;519.61;173.85;128.93;1058.75
Felsic;UPL5;UP;Uvariopsis Congnesis;2.764;42.304;975.75;15.30535456;28.326928;433.5536767;12129.51;3561.9;12633.25;103.13;144.78;111.06;545.39;394.67
