plotID,CN_soil,NP_soil,P_avail,P_g_kg,CP_soil,CEC,bases_in_CEC,ECEC,bases_in_ECEC,exch_bases_Mg,exch_bases_Ca,exch_bases_K,exch_base,pH_KCL,Ca_soil,K_soil,Mg_soil,TRB_soil,clay,silt,sand,K_resorp,P_resorp,Mg_resorp,intercept
UPL4,8.396357578,3.45102561,28.0414,0.63642916,28.97604503,19.34789333,67.40850333,14.32155,86.60581333,2.33519,10.52476333,0.447783333,13.30773666,5.194143333,0.23686,0.109233333,0.20478,0.575933333,50.83743333,41.26523667,10.46858,82.70352790415134,86.25094146948118,46.47779375287644,1
UPL5,9.357130159,3.194517654,27.37513667,0.64486522,29.89151749,16.26701667,74.33300333,13.90551333,94.63903,2.215413333,11.25975667,0.432193333,13.90736334,5.42145,0.254213333,0.11829,0.2108,0.60796,41.26661667,52.54854667,6.801043333,82.34424056456102,84.95647181412832,50.93975660345917,1
UPL6,9.012086874,5.261785331,26.96962333,0.30189373,47.41966652,14.06209333,71.33370333,13.65178333,78.45978,2.118366667,10.42691667,0.431256667,12.97654,5.31645,0.238196667,0.111666667,0.194403333,0.56405,45.51199333,46.94574667,9.654823333,77.5526519758067,67.99152933082176,41.96079868832792,1
UPL7,10.43908652,2.306123676,46.87024667,0.80572435,24.07382459,18.09075667,55.25828667,12.61761333,70.03594,1.962906667,8.089683333,0.368663333,10.42125333,4.56809,0.213146667,0.11396,0.20206,0.554913334,40.39510333,45.78414333,14.66050333,84.25755662263195,86.36951166497359,24.66215276663573,1
UPL8,11.35625044,5.334467503,33.01101333,0.46262037,60.57954891,17.67807333,47.19930667,11.33517,60.10553,1.426923333,7.147416667,0.293036667,8.867376667,4.44372,0.142486667,0.0932,0.146703333,0.400473333,36.99185667,51.48594333,13.25328,76.13430014328851,77.93767776312154,20.572101211821785,1
UPL9,11.2596836,2.552571676,31.0653,0.95510214,28.74114943,19.74824667,52.26397667,13.00458667,73.05736,1.65722,9.32104,0.357393333,11.33565333,4.853806667,0.20397,0.1111,0.196383333,0.532256666,38.42256667,51.18039,12.14035333,86.41603522535905,85.51789892692886,34.21863860441092,1
NPL1,14.91304858,4.205550585,1.012113333,0.81109475,62.71758016,29.04519,0.0,7.441396667,1.719676667,0.008613333,0.0,0.082126667,0.09074,3.323043333,0.0,0.039846667,0.09436,0.135166667,37.61029667,50.97853,11.22621333,87.56639409668196,78.17377057389541,30.021795823642318,1
NPL10,17.97162497,9.393601012,23.50895667,0.23698402,168.8182745,11.29243,9.415843333,5.304733333,8.59239,0.44261,0.463826667,0.090443333,0.99688,3.256736667,0.03642,0.059946667,0.07701,0.179316667,21.31789333,49.19512333,29.48458667,78.750055416162,78.42436733566508,39.4043828037951,1
NPL11,19.6970317,68.59921559,31.66524,0.04852846,1351.200924,10.29950429,12.65568286,11.93021,11.86023286,0.179038571,3.287512857,0.046375714,3.512927142,3.143937143,0.015514286,0.025128571,0.058424286,0.112581429,24.12364143,70.05127286,3.794558571,85.69483258485431,76.22763880817969,40.20523303485585,1
NPL12,16.74742532,14.4009356,28.33443,0.10698379,241.1785935,6.700453333,28.28824667,7.566916667,24.75241333,0.816923333,2.636093333,0.240013333,3.693029999,3.492256667,0.080823333,0.0475,0.083983333,0.237079999,21.29187,57.40248,18.39785333,66.97035905400666,37.93023936528762,37.69691536689554,1
NPL2,15.55578477,3.216767565,1.958543333,0.91921469,50.03934391,28.39927333,1.83051,7.50177,8.005103333,0.204883333,0.0,0.141426667,0.34631,3.298983333,0.025773333,0.047136667,0.09108,0.176116667,49.82162333,35.93177333,15.40580333,85.39776038043031,79.72806668118892,37.003198536706044,1
NPL3,15.8188827,3.789666192,2.657986667,0.78266348,59.94828496,26.69817,4.34252,6.940416667,11.61912,0.289016667,0.142613333,0.17529,0.60692,3.41962,0.02972,0.05223,0.087973333,0.18615,47.68155,36.87081333,14.59801,92.97217061205794,85.48830470858955,39.37833716575266,1
NPL4,18.75574054,1.205864517,0.0,1.37478131,22.616882,4.482873333,4.369053333,4.735246667,0.0,0.02409,0.0,0.066383333,0.090473333,3.043793333,0.092173333,0.10619,0.063466667,0.268113333,45.74055667,19.28595333,41.00120333,85.88000313771306,87.80216419080749,58.83488393185776,1
NPL6,14.60889278,2.981223801,5.418663333,0.67316874,43.55237886,15.42033,3.52164,8.261313333,2.968303333,0.144206667,1.048153333,0.09515,1.28751,3.185893333,0.05263,0.078616667,0.120913333,0.25216,23.92742667,54.95387333,20.88705333,45.271544387972504,76.40457977626866,68.07310876053282,1
NPL7,16.23907068,6.461923878,12.42955333,0.46714158,104.9356386,24.15949667,0.90272,6.261323333,3.727376667,0.015633333,0.0,0.069836667,0.08547,3.185963333,0.0,0.03146,0.048836667,0.083463334,27.85639667,60.37178,11.85859,80.13807304756756,77.8770104584978,27.117756744066597,1
NPL8,12.9390651,3.442722207,3.51673,1.32582098,44.54560675,38.15718,0.0,6.332006667,1.49331,0.18196,0.0,0.12265,0.30461,3.003583333,0.015303333,0.05555,0.18212,0.258746666,38.15184,51.99893333,12.38513,80.79795520607632,79.38489990682532,28.37007631786178,1
NPL9,15.49221807,2.197547742,6.092203333,1.08082597,34.04488884,27.29461667,5.662016667,7.205186667,13.07284333,0.161956667,0.284676667,0.19767,0.644303334,3.573696667,0.060706667,0.07347,0.119593333,0.27197,50.45954333,32.49194333,17.4713,95.9139027146666,96.79411573866474,36.52635603250734,1
