region;plotID;slope;treeID;Species;N;C;CN;N_mass;C_mass;P;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si;BA;meanWD;predHeight18;DBH18
Felsic;UPL12;V;3373;AphaniaSenegalensis;2.029;43.556;21.46673238;20290;435560;1319.63;15.37552193;330.0622144;9116.01;5987.27;20413.12;422.91;199.71;129.22;127.26;497.31;0.11947455;0.5247;10.82457835;15.6
Felsic;UPL12;V;3376;FuntumiaLatifolia;1.838;47.823;26.01904244;18380;478230;934.91;19.65964638;511.5251735;4404.34;1218.93;2051.28;27.61;244.58;153.85;311.64;457.59;0.976553238;0.424;18.98378622;44.6
Felsic;UPL12;V;3377;BanquetredendronOblanceolatum;1.741;46.444;26.67662263;17410;464440;941.94;18.48313056;493.067499;9229.41;1627.34;8581.22;72.46;178.2;142.96;45.04;252.62;0.518552734;0.5247;16.4831314;32.5
Felsic;UPL12;V;3378;ChryssophylumAlbidum;3.153;49.876;15.81858547;31530;498760;1627.96;19.36779773;306.3711639;11163.97;3029.82;9775.31;105.52;171.46;126.24;88.56;770.64;0.357893438;0.6023;15.00487567;27
Felsic;UPL12;V;3390;BanquetredendronOblanceolatum;1.719;46.545;27.07678883;17190;465450;1088.68;15.78976375;427.5360988;4782.57;1538.62;10752.23;118.51;226.98;190.82;120.52;315.36;0.239778784;0.5247;13.43109279;22.1
Felsic;UPL12;V;3393;TabernaemontanaHolistii;2.435;63.452;26.05831622;24350;634520;1449.66;16.79704207;437.7026337;15681.23;6289.64;11092.6;13.64;101.32;227.97;1046.32;249.4;0.086841934;0.5261;9.710906784;13.3
Felsic;UPL12;V;3395;FuntumiaLatifolia;2.24;48.18;21.50892857;22400;481800;2053.37;10.90889611;234.6386672;26540.75;2235.46;8705.51;114.29;114.29;44.55;19.37;627.63;0.39597055;0.424;15.40692321;28.4
Felsic;UPL3;PL;3399;CheatachmeAristata;2.801;38.155;13.62192074;28010;381550;1365.3;20.51563759;279.4623892;23984.94;3717.43;17035.57;338.85;194.19;112.95;59.45;970.97;0.319232109;0.5787;14.55210658;25.5
Felsic;UPL3;PL;3413;HarrisoniaAbyssinica;1.975;45.772;23.1756962;19750;457720;1573.73;12.54980206;290.8504;14219.93;1847.68;18080.44;120.46;613.95;254.52;71.89;880.12;0.371271484;0.785;15.15066004;27.5
Felsic;UPL3;PL;3425;FicusBrachypus;2.093;41.909;20.02341137;20930;419090;1254;16.69059011;334.2025518;7938.16;1349.43;10207.57;62.99;536.34;229.04;72.53;313.02;1.767375;0.4055;21.20070509;60
Felsic;UPL3;PL;3429;BanquetredendronOblanceolatum;2.077;46.046;22.1694752;20770;460460;1381.37;15.03579779;333.3357464;17053.53;1950.84;9929.3;38.48;240.49;155.84;515.61;871.53;0.06606055;0.5787;8.804638542;11.6
Felsic;UPL7;MS;3488;DiospyrosAbyssinica;2.641;47.582;18.01666036;26410;475820;1341.31;19.68970633;354.7427515;15662.32;1194.23;13311.11;178.45;458.87;309.83;119.62;1466.81;0.636255;0.6;17.29858966;36
Felsic;UPL7;MS;3489;PterygotaMildbraedii;2.464;47.315;19.20251623;24640;473150;1188.5;20.73201515;398.1068574;12190.94;2123.72;16635.17;101.32;216.27;146.13;245.49;535.8;0.235458534;0.6;13.3606379;21.9
Felsic;UPL7;MS;3490;TecleaNobilis;2.014;40.575;20.14647468;20140;405750;1039.77;19.36966829;390.2305318;11452.96;3103.78;26339.48;100.87;219.2;180.41;102.81;1119.3;0.130437184;0.745;11.14086469;16.3
Felsic;UPL7;MS;3491;DiospyrosAbyssinica;2.976;48.274;16.22110215;29760;482740;1228.19;24.23077863;393.0499353;5056.68;934.45;1462.79;11.83;185.31;134.06;238.54;818.14;0.071878159;0.6;9.079246074;12.1
