plotID;treeID;Species;N;C;CN;N_mass;C_mass;P;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si
KBPL7;1425;Alangium Chinense;3.82;45.1;11.8;38200;451000;2839.86;13.45136732;158.8106456;18323.73;4166.67;11211.6;105.61;222.73;78.73;28.8;170.89
KBPL7;1426;Alangium Chinense;4.09;44.84;10.97;40900;448400;3409.89;11.99452182;131.4998431;22632.21;4815.65;10315.96;88.22;172.6;88.22;28.77;195.62
KBPL7;1427;Alangium Chinense;3.85;44.12;11.46;38500;441200;3681.84;10.45672816;119.8313887;22655.85;5849.13;11807.7;93.8;291.19;105.53;33.22;244.28
KBPL7;1434;Maesa Lanceolata;3.42;47.89;14.01;34200;478900;2973.74;11.50066919;161.0429964;24283.31;5346.18;8202.36;44.33;331.49;159.96;204.29;256.32
KBPL7;1439;Maesa Lanceolata;3.11;48.59;15.61;31100;485900;2424.7;12.82632903;200.3959253;21380.94;2958.89;6465.24;35.99;248.15;96.61;73.88;170.49
KBPL7;1442;Maesa Lanceolata;3.56;47.21;13.25;35600;472100;2772.82;12.8389149;170.2598798;29702.91;3337.86;6982.52;25.24;205.83;91.26;97.09;166.99
KBPL8;1462;Allophylus Kivuensis;4.34;49.15;11.33;43400;491500;2445.61;17.7460838;200.9723545;14069.36;2228.98;3171.5;17.1;241.33;133.02;535.87;476.96
KBPL8;1463;Allophylus Kivuensis;4.42;47.24;10.69;44200;472400;2471.04;17.88720539;191.1745662;17082.62;3236.47;5975.31;34.19;214.62;123.46;1094.02;442.55
KBPL8;1464;Allophylus Kivuensis;4.59;47.7;10.39;45900;477000;2734.87;16.78324747;174.4141403;16633.79;3755.96;4731.75;24.54;235.93;134.01;687.02;385.03
KBPL8;1479;Maesa Lanceolata;3.38;48.65;14.41;33800;486500;1739.05;19.43589891;279.7504385;12958.96;2461.74;7587.36;30.51;154.45;106.78;450.02;158.27
KBPL8;1480;Maesa Lanceolata;3.05;48.5;15.89;30500;485000;1849.91;16.48728857;262.1749166;23880.16;2210.59;7572.23;27.15;230.75;195.85;585.61;257.9
KBPL8;1482;Macaranga Kilimandsharica;3.33;45.11;13.54;33300;451100;1616.89;20.59509305;278.9923866;10966.32;3190.77;6968.08;33.24;385.16;322.6;1161.35;621.73
KBPL8;1483;Dombeya Goetzenii;4.18;46.27;11.07;41800;462700;2501.73;16.70843776;184.9520132;17375.66;4760.21;11818.45;47.46;284.78;176.01;686.25;444.97
KBPL8;1484;Dombeya Goetzenii;3.68;44.91;12.21;36800;449100;2386.14;15.42239768;188.2119239;17592.08;3948.51;9704.95;49.5;322.77;190.1;548.51;491.09
KBPL8;1493;Neoboutonia Macrocalyx;4.15;48.11;11.6;41500;481100;3000.85;13.829415;160.3212423;15582.08;3762.43;6515.11;60.62;147.77;102.3;301.22;287.96
KBPL8;1494;Neoboutonia Macrocalyx;4;47.66;11.9;40000;476600;2330.9;17.16075336;204.4703762;13011.89;4250.63;8177.76;70.88;185.44;192.39;410.74;386.26
KBPL8;1495;Macaranga Spinosa;2.51;46.29;18.45;25100;462900;1333.46;18.82321179;347.1420215;8780.11;2651.26;6285.49;17.62;146.86;90.07;1979.64;573.72
KBPL8;1496;Macaranga Spinosa;2.57;46.1;17.97;25700;461000;1318.59;19.49051638;349.6158776;8118.59;2534.67;6030.15;24.12;211.06;184.92;1559.8;4207.04
KBPL8;1503;Tabernaemontana Johnstonii;3.63;44.97;12.39;36300;449700;1891.57;19.19040797;237.739021;26041.83;4849.4;6027.61;22.77;206.8;516.06;2523.36;210.6
KBPL8;1510;Tabernaemontana Johnstonii;3.43;46.75;13.65;34300;467500;1637.96;20.94068231;285.4160053;16810.44;5253.62;5551.6;26.57;216.37;707.95;2089.68;280.9
KBPL8;1511;Tabernaemontana Johnstonii;3.53;47.1;13.33;35300;471000;1749.44;20.17788549;269.2290104;15523.56;5397.2;5663.63;23.51;209.62;773.83;2194.14;284.06
KBPL8;1512;Tabernaemontana Johnstonii;3.76;44.56;11.86;37600;445600;2104.25;17.86859926;211.7619104;25990.35;5200.77;6806.95;28.96;175.68;693.05;2704.63;216.22
KBPL11;1755;Dombeya Goetzenii;4.25;45.77;10.78;42500;457700;3574.05;11.89127181;128.0620025;24166.42;3587.91;11904.9;29.72;186.23;103.02;71.32;404.16
KBPL11;1759;Dombeya Goetzenii;3.79;44.67;11.79;37900;446700;3676.26;10.30939052;121.5093601;24207.77;3138.72;16486.81;36.24;215.42;140.93;116.77;414.74
KBPL11;1764;Maesa Lanceolata;3.29;48.7;14.81;32900;487000;2926.97;11.24029286;166.3836664;24268.99;2272;8868.37;27.21;180.75;108.84;71.91;153.54
KBPL11;1765;Neoboutonia Macrocalyx;4.04;45.32;11.21;40400;453200;4156.2;9.720417689;109.0419133;23830.21;4357.12;12494.21;51.21;161.52;98.49;61.06;254.1
KBPL11;1766;Maesa Lanceolata;3.17;47.25;14.92;31700;472500;3038.71;10.43205834;155.4936141;24702.11;2324.51;8885.9;26.36;301.57;149.88;119.59;225.85
KBPL11;1768;Maesa Lanceolata;3.05;47.49;15.58;30500;474900;2779.31;10.97394677;170.8697482;22597.69;2877.26;11835.53;38.77;236.71;159.17;114.27;232.63
KBPL11;1770;Cassipourea Ruwensorensis;2.14;46.14;21.56;21400;461400;2358.25;9.074525602;195.6535567;9058;2221.89;14311.93;40.11;212.56;186.49;12.03;242.64
KBPL11;1789;Maesa Lanceolata;3.19;48.28;15.15;31900;482800;2988.06;10.67582311;161.5764074;20846.52;1704.69;6700.32;21.36;166.97;137.85;85.43;157.27
KBPL11;1790;Cassipourea Ruwensorensis;2.55;45.9;18;25500;459000;3143.24;8.112648096;146.0276657;10003.87;2375.8;12876.47;34.8;214.58;144.98;13.53;199.11
KBPL11;1791;Cassipourea Ruwensorensis;1.6;48.67;30.5;16000;486700;1786.96;8.953753861;272.3620003;7459.19;2821.02;5277.86;22.64;247.19;228.32;179.26;443.44
KBPL11;1793;Neoboutonia Macrocalyx;3.07;46.18;15.06;30700;461800;2875.28;10.677221;160.6104449;13732.57;3615.1;11721.07;57.99;181.95;147.96;35.99;379.91
KBPL11;1795;Xymalos Monospora;2.7;43.39;16.05;27000;433900;2393.8;11.27913777;181.2599215;20658.35;5921.08;9329.58;24.16;221.46;459.03;120.8;1117.37
KBPL11;1798;Xymalos Monospora;2.58;41.71;16.15;25800;417100;2062.73;12.50769611;202.2077538;16637.5;5287.58;13984.86;74.72;300.86;1095.27;306.75;1482.65
KBPL12;1816;Cassipourea Ruwensorensis;2.01;46.38;23.04;20100;463800;1185.87;16.94958132;391.1052645;8761.7;4002.55;6621.26;33.32;194.05;162.69;548.83;276.38
KBPL12;1818;Cassipourea Ruwensorensis;1.63;48.45;29.67;16300;484500;1145.39;14.23096063;423.0000262;7245.78;2727.75;6624;32.73;154;113.58;598.68;221.38
KBPL12;1821;Cassipourea Ruwensorensis;2.25;46.46;20.69;22500;464600;1293.76;17.39116992;359.1083354;6887.59;4023.37;9533.07;37.39;278.57;244.92;448.7;329.05
KBPL12;1822;Agauria Salicifolia;1.73;50.44;29.16;17300;504400;856.14;20.20697549;589.1559792;6627.55;2213.56;4900.26;30.04;180.24;214.03;820.46;390.52
KBPL12;1826;Neoboutonia Macrocalyx;3.66;47.63;13;36600;476300;2974;12.3066577;160.1546738;15734;3678;8784;70;268;214;166;630
KBPL12;1827;Neoboutonia Macrocalyx;3.45;48.11;13.96;34500;481100;2889.47;11.93990593;166.501123;11291.7;4767.61;8987.15;61.49;199.58;241.28;227.91;520.75
