plotID,region_x,slope_x,N_canopy,C_canopy,P_canopy,CN,CP_canopy,NP_canopy,K_canopy,Mg_canopy,Ca_canopy,Na_canopy,Fe_canopy,Al_canopy,Mn_canopy,Si_canopy,meanWD,predHeight18,DBH18,C_g_kg,TC_bulk,N_g_kg,TN_bulk,CN_soil,P_avail,clay,silt,sand,pH_KCL,bases_in_CEC,CEC,bases_in_ECEC,ECEC,exch_bases_Mg,exch_bases_Ca,exch_bases_K,exch_base,exch_acidity_Al,Ca_soil,K_soil,Mg_soil,Na_soil,TRB_soil,P_soil,P_g_kg,NP_soil,CP_soil,RC1,RC2,RC3,plotID,lat,long,TPI,TWI,LS_FACTOR,CTI,SPI,aspect,curvature,slope_degr,slope_per
UPL3,Felsic,PL,2.164772463,42.1107152,1318.443431,19.73361131,320.8791335,16.52196677,11130.41441,1737.972303,12222.003,105.6935644,496.7372622,216.1889412,82.37846993,494.2772637,0.487764352,19.14536777,49.58882915,28.55512,2.855512,3.0135,0.30135,9.475732537,60.657702,34.149694,56.57702,11.86551,5.765614,85.517588,22.540952,100.057524,18.382254,2.991332,15.246642,0.611442,18.849416,0.01011,0.36743,0.154422,0.310718,0.020414,0.852984,0.0770968,0.770968,3.908722541,37.03800936,20.01079388,-0.604347386,-1.942811321,UPL3,0.46271,30.37291,1.51343,6.41047,1.78141,0.0100457,0.0000995,188.6640015,0.0990946,5.6254702,9.8499699
UPL4,Felsic,UP,3.304525045,49.4723319,2318.265264,16.78758574,310.6711476,17.83493551,16891.53763,2842.17933,7819.307084,66.25841,168.0450024,105.6120289,130.4390321,703.173922,0.526726054,19.24135303,62.15703423,18.4412,1.84412,2.19633333,0.219633333,8.396357578,28.0414,50.83743333,41.26523667,10.46858,5.194143333,67.40850333,19.34789333,86.60581333,14.32155,2.33519,10.52476333,0.447783333,13.30773666,0.377906667,0.23686,0.109233333,0.20478,0.02506,0.575933333,0.063642916,0.63642916,3.45102561,28.97604503,10.00271512,-2.643233619,1.004326703,UPL4,0.46078,30.37271,1.76624,5.3220701,0,-46.9123001,-1.0171601,203.151001,0.284848,8.3204298,14.6247997
UPL5,Felsic,UP,2.452855889,44.7269422,2523.97049,19.66360382,252.5656374,14.49577255,19836.64388,4142.828329,11044.95602,97.91092015,281.4992437,184.1009849,183.4167688,862.188395,0.512613583,18.82134618,46.74080671,19.276,1.9276,2.06003333,0.206003333,9.357130159,27.37513667,41.26661667,52.54854667,6.801043333,5.42145,74.33300333,16.26701667,94.63903,13.90551333,2.215413333,11.25975667,0.432193333,13.90736334,0,0.254213333,0.11829,0.2108,0.024656667,0.60796,0.064486522,0.64486522,3.194517654,29.89151749,11.44958945,-3.154904959,-0.784601039,UPL5,0.46083,30.37356,-2.1647899,8.6314802,11.8492002,21.8822002,0.496422,208.7100067,-0.371547,8.5094299,14.9618998
UPL6,Felsic,UP,2.470164152,44.82562394,1507.145496,19.24679806,320.5807804,17.57870548,17394.92128,3560.013265,13400.8101,145.0184771,405.6104134,230.8902549,181.3188665,1098.447711,0.451397251,15.51618205,31.46738349,14.3157,1.43157,1.5885,0.15885,9.012086874,26.96962333,45.51199333,46.94574667,9.654823333,5.31645,71.33370333,14.06209333,78.45978,13.65178333,2.118366667,10.42691667,0.431256667,12.97654,0.372593333,0.238196667,0.111666667,0.194403333,0.019783333,0.56405,0.030189373,0.30189373,5.261785331,47.41966652,9.379432492,-4.453062486,-0.207629662,UPL6,0.46021,30.37396,-0.245239,7.69947,15.5142002,12.4152002,0.590719,244.0370026,-0.0123953,12.2503996,21.7129002
UPL7,Felsic,MS,2.796019743,46.97101515,1901.367849,17.32604179,311.8938041,17.32610605,17835.84849,3024.86887,12360.87715,86.53693015,213.447772,146.6312075,252.0093822,657.4134048,0.573023109,14.27389759,27.92534867,19.39686667,1.939686667,1.8581,0.18581,10.43908652,46.87024667,40.39510333,45.78414333,14.66050333,4.56809,55.25828667,18.09075667,70.03594,12.61761333,1.962906667,8.089683333,0.368663333,10.42125333,1.14207,0.213146667,0.11396,0.20206,0.025746667,0.554913334,0.080572435,0.80572435,2.306123676,24.07382459,6.668290825,-2.614133265,0.067145853,UPL7,0.48398,30.35252,-1.09192,5.7308898,10.2103004,2.37131,0.202903,137.8370056,-0.0866993,16.2523003,29.1516991
UPL8,Felsic,MS,2.953533013,45.07054525,1159.616211,15.48604183,395.5704711,26.04450283,10664.11464,2133.505586,8173.479018,57.92001883,180.2787789,121.6668427,506.0552282,691.9352914,0.570996655,12.12401243,19.56551628,28.02533333,2.802533333,2.46783333,0.246783333,11.35625044,33.01101333,36.99185667,51.48594333,13.25328,4.44372,47.19930667,17.67807333,60.10553,11.33517,1.426923333,7.147416667,0.293036667,8.867376667,1.596093333,0.142486667,0.0932,0.146703333,0.018083333,0.400473333,0.046262037,0.46262037,5.334467503,60.57954891,1.385373451,-2.765913707,-1.200160949,UPL8,0.4838,30.35238,-3.5057399,6.4470401,18.7313995,5.3752098,0.597372,125.5749969,-0.520141,18.3852005,33.2369003
UPL9,Felsic,MS,2.874776378,46.0207802,1530.49203,16.40604181,353.7321376,21.68530444,14249.98157,2579.187228,10267.17808,72.22847449,196.8632755,134.1490251,379.0323052,674.6743481,0.572009882,13.19895501,23.74543247,27.45073333,2.745073333,2.43796667,0.243796667,11.2596836,31.0653,38.42256667,51.18039,12.14035333,4.853806667,52.26397667,19.74824667,73.05736,13.00458667,1.65722,9.32104,0.357393333,11.33565333,0.631116667,0.20397,0.1111,0.196383333,0.020803333,0.532256666,0.095510214,0.95510214,2.552571676,28.74114943,6.185111105,-1.80571882,-0.819143364,UPL9,0.48337,30.35179,-0.643677,6.7672801,23.0610008,6.3562002,0.759618,106.9729996,-0.136226,19.0191002,34.4700012
NPL1,Mixed,PL,1.865664205,49.35952905,986.3708643,26.50568525,544.5343535,20.55430747,7222.998032,2195.00415,6263.890272,40.04274959,232.0531408,270.0814504,399.908637,728.0867474,0.620299749,20.98752601,64.47943857,50.8699,5.08699,3.4111,0.34111,14.91304858,1.012113333,37.61029667,50.97853,11.22621333,3.323043333,0,29.04519,1.719676667,7.441396667,0.008613333,0,0.082126667,0.09074,6.05178,0,0.039846667,0.09436,0.00096,0.135166667,0.081109475,0.81109475,4.205550585,62.71758016,-16.23598952,0.644703169,-1.7265983,NPL1,-2.4645,29.103462,0.229858,6.2041602,9.4211998,4.5198598,0.267194,331.5209961,-0.0247498,13.6114998,24.2136993
NPL10,Mixed,V,1.807623698,49.59605608,838.9449353,27.90793872,611.9889384,22.16007555,5981.994373,2050.951458,4689.675378,20.06623916,193.004272,213.0192478,255.5591421,404.1500743,0.627246728,20.68278298,69.52260863,40.00723333,4.000723333,2.22613333,0.222613333,17.97162497,23.50895667,21.31789333,49.19512333,29.48458667,3.256736667,9.415843333,11.29243,8.59239,5.304733333,0.44261,0.463826667,0.090443333,0.99688,2.6888,0.03642,0.059946667,0.07701,0.00594,0.179316667,0.023698402,0.23698402,9.393601012,168.8182745,-13.29526438,-4.021589812,-2.155877396,NPL10,-2.46391,29.10289,-5.9157701,8.1281404,8.6711502,19.0132999,0.385724,333.9389954,-1.26325,8.0501003,14.1433001
NPL11,Mixed,V,2.028755437,48.29227038,1042.96062,24.58971586,530.5828309,21.71432364,9551.190572,2032.763814,4664.865487,37.18492757,259.9171918,282.1684875,181.4079793,519.0970635,0.646562845,16.21126136,38.84061442,65.5717,6.55717,3.32901429,0.332901429,19.6970317,31.66524,24.12364143,70.05127286,3.794558571,3.143937143,12.65568286,10.29950429,11.86023286,11.93021,0.179038571,3.287512857,0.046375714,3.512927142,3.645185714,0.015514286,0.025128571,0.058424286,0.013514286,0.112581429,0.004852846,0.04852846,68.59921559,1351.200924,-11.74865522,-1.244575677,-4.963635567,NPL11,-2.46366,29.1031,-4.4176002,7.8240099,3.7358601,20.0930996,0.188479,317.7449951,-0.755476,5.4751801,9.5851898
