N_canopy;C_canopy;P_canopy;CN_canopy;NP_canopy;CP_canopy;K_canopy;Mg_canopy;Ca_canopy;Na_canopy;Fe_canopy;Al_canopy;Mn_canopy;Si_canopy;TN_soil;TDN_soil;NH4_soil;NO3_soil;TC_soil;P_avail_soil;CN_soil;clay;silt;sand;pH_KCL;bases_in_CEC;CEC;bases_in_ECEC;ECEC;exch_Mg;exch_Ca;exch_K;sum_exch_bases;exch_acidity_Al;Ca_soil;K_soil;Mg_soil;Na_soil;TRB_soil;P_soil;AL_soil;Fe_soil;Mn_soil;Si_soil;RC1;RC2;RC3;RC4
2.953533013;45.07054525;1159.616211;15.48604183;26.04450283;395.5704711;10664.11464;2133.505586;8173.479018;57.92001883;180.2787789;121.6668427;506.0552282;691.9352914;0.246783333;146.763;58.8486;10.8757;2.802533333;33.01101333;16.71059333;36.99185667;51.48594333;13.25328;4.44372;47.19930667;17.67807333;60.10553;11.33517;1.426923333;7.147416667;0.293036667;8.867376667;1.596093333;0.142486667;0.0932;0.146703333;0.018083333;0.400473333;0.046262037;2.588226667;3.872443333;0.122586667;18.37563;1.322598816;-5.252596746;-2.490557317;0.368582208
2.874776378;46.0207802;1530.49203;16.40604181;21.68530444;353.7321376;14249.98157;2579.187228;10267.17808;72.22847449;196.8632755;134.1490251;379.0323052;674.6743481;0.243796667;136.2614;65.2303;5.2184;2.745073333;31.0653;17.12772667;38.42256667;51.18039;12.14035333;4.853806667;52.26397667;19.74824667;73.05736;13.00458667;1.65722;9.32104;0.357393333;11.33565333;0.631116667;0.20397;0.1111;0.196383333;0.020803333;0.532256666;0.095510214;3.355313333;4.86936;0.15805;17.97245;6.257286292;-3.901030093;-1.491288175;-0.035450687
1.865664205;49.35952905;986.3708643;26.50568525;20.55430747;544.5343535;7222.998032;2195.00415;6263.890272;40.04274959;232.0531408;270.0814504;399.908637;728.0867474;0.34111;268.7942;66.3697;24.1995;5.08699;1.012113333;15.27031333;37.61029667;50.97853;11.22621333;3.323043333;0;29.04519;1.719676667;7.441396667;0.008613333;0;0.082126667;0.09074;6.05178;0;0.039846667;0.09436;0.00096;0.135166667;0.081109475;5.208463333;7.62001;0.004646667;12.54676;-17.88044625;2.91789605;-0.745255823;-1.453166761
1.807623698;49.59605608;838.9449353;27.90793872;22.16007555;611.9889384;5981.994373;2050.951458;4689.675378;20.06623916;193.004272;213.0192478;255.5591421;404.1500743;0.222613333;92.7165;78.134;4.4514;4.000723333;23.50895667;34.90630333;21.31789333;49.19512333;29.48458667;3.256736667;9.415843333;11.29243;8.59239;5.304733333;0.44261;0.463826667;0.090443333;0.99688;2.6888;0.03642;0.059946667;0.07701;0.00594;0.179316667;0.023698402;0.27444;1.486536667;0.011836667;23.49658333;-13.41757659;-8.552636689;-6.23069898;4.740441831
2.028755437;48.29227038;1042.96062;24.58971586;21.71432364;530.5828309;9551.190572;2032.763814;4664.865487;37.18492757;259.9171918;282.1684875;181.4079793;519.0970635;0.332901429;277.5468;135.2845;5.8671;6.55717;31.66524;55.75109;24.12364143;70.05127286;3.794558571;3.143937143;12.65568286;10.29950429;11.86023286;11.93021;0.179038571;3.287512857;0.046375714;3.512927142;3.645185714;0.015514286;0.025128571;0.058424286;0.013514286;0.112581429;0.004852846;0.325055714;0.804087143;0;21.57048714;-12.26963566;-1.787499791;-7.766390213;0.805429794
1.623876689;47.84844589;847.88958;30.27868513;19.65357744;595.2909141;6375.484886;2464.788076;5105.237132;20.5353713;218.8914852;198.2818802;270.9826314;460.3557581;0.154066667;111.6572;93.0813;2.5149;2.58022;28.33443;36.93669333;21.29187;57.40248;18.39785333;3.492256667;28.28824667;6.700453333;24.75241333;7.566916667;0.816923333;2.636093333;0.240013333;3.693029999;1.756443333;0.080823333;0.0475;0.083983333;0.024773333;0.237079999;0.010698379;0.781506667;0.96694;0.017353333;25.70174667;-6.866393927;-9.89198844;-6.39109677;3.608544354
1.961264746;49.12650541;928.3330613;21.2588791;21.65585733;545.3210309;6103.422351;1884.451103;4445.066892;21.15158492;182.5314845;363.1876023;246.4043995;515.1753883;0.29569;110.4402;43.9395;23.4647;4.59969;1.958543333;11.26847333;49.82162333;35.93177333;15.40580333;3.298983333;1.83051;28.39927333;8.005103333;7.50177;0.204883333;0;0.141426667;0.34631;6.169086667;0.025773333;0.047136667;0.09108;0.012126667;0.176116667;0.091921469;5.35825;10.27715333;0.088426667;13.8792;-16.51645359;1.522140839;2.623423965;-0.280403757
2.107576284;47.8170036;1213.741387;23.03293158;18.89800186;418.9192507;11347.92643;2045.256709;4009.768934;25.29655135;211.0578757;266.5523639;199.256935;922.7915904;0.296603333;121.5798;49.1282;14.791;4.691933333;2.657986667;7.72464;47.68155;36.87081333;14.59801;3.41962;4.34252;26.69817;11.61912;6.940416667;0.289016667;0.142613333;0.17529;0.60692;6.34459;0.02972;0.05223;0.087973333;0.016226667;0.18615;0.078266348;4.13992;9.786316667;0.043106667;13.8563;-15.8104557;0.865395498;1.947992416;-0.413436258
1.841848437;48.32660509;1363.374964;26.5135784;16.78584973;446.707593;7280.973783;1943.684958;4079.847661;25.17974692;275.8460039;366.0479971;292.9682201;476.1892294;0.16578;106.5139;59.5196;19.2152;3.109326667;0;41.02888333;45.74055667;19.28595333;41.00120333;3.043793333;4.369053333;4.482873333;0;4.735246667;0.02409;0;0.066383333;0.090473333;4.010876667;0.092173333;0.10619;0.063466667;0.006283333;0.268113333;0.137478131;0.91362;7.564713333;0.038366667;24.92875;-15.55207145;-7.769491614;-0.309008324;6.697827906
1.735244838;54.54363078;792.5985288;31.31716323;22.33091068;699.2148817;6689.668092;2250.34931;4735.105513;28.46176753;231.1364655;378.9777813;415.890351;351.1717982;0.048239231;60.3879;26.8685;18.2382;3.353431538;25.05788231;143.3240638;39.78377769;12.15644462;47.09232538;3.746549231;20.92504231;4.868263846;18.54413;5.166861538;0.677409231;1.195311538;0.049152308;1.921873077;1.486240769;0.024563077;0.042587692;0.021098462;0.023808462;0.112057693;0.059769022;1.219073077;4.90258;0.116578462;24.52590615;-13.76588265;-12.43905039;-0.782678824;11.70090577
2.158060492;48.1726835;937.4405582;23.69903452;23.97136555;576.4495824;7637.133086;2048.12;5078.020949;24.83484217;246.4124467;223.1800346;392.3663444;421.653702;0.200686667;92.1682;41.2802;7.0985;2.93181;5.418663333;10.29345667;23.92742667;54.95387333;20.88705333;3.185893333;3.52164;15.42033;2.968303333;8.261313333;0.144206667;1.048153333;0.09515;1.28751;3.95391;0.05263;0.078616667;0.120913333;0;0.25216;0.067316874;2.22663;4.695373333;0;20.01681667;-13.55525928;-6.306405155;-4.641403602;1.760098677
2.000898266;49.93610722;968.766051;25.15466285;20.95311503;524.3458967;5979.091497;1704.779909;4364.044572;20.45078582;231.7681973;214.7381895;477.0064871;811.5145453;0.301863333;165.9227;54.0043;46.5196;4.90198;12.42955333;19.59892;27.85639667;60.37178;11.85859;3.185963333;0.90272;24.15949667;3.727376667;6.261323333;0.015633333;0;0.069836667;0.08547;5.996823333;0;0.03146;0.048836667;0.003166667;0.083463334;0.046714158;3.855803333;6.18413;0;14.84254333;-18.50548179;-0.695838045;-3.472668751;-0.462713056
2.160780878;48.04301063;848.3897194;22.90032393;25.51454942;569.6031043;5977.081757;1841.083279;3954.119403;19.58829935;297.101983;291.3274173;725.2129328;776.0776461;0.456443333;318.6687;88.071;215.3535;5.90595;3.51673;4.239486667;38.15184;51.99893333;12.38513;3.003583333;0;38.15718;1.49331;6.332006667;0.18196;0;0.12265;0.30461;7.096006667;0.015303333;0.05555;0.18212;0.005773333;0.258746666;0.132582098;7.85116;8.43922;0.043066667;11.53523;-17.71293038;9.838282666;0.4853394;-3.384679507
2.220311842;46.30454642;1656.500341;22.79886183;15.01200202;301.6623391;17551.62605;1386.326543;3007.361263;49.87196827;268.2039884;251.2089661;92.56814335;452.8826895;0.237516667;113.3817;14.2667;28.0321;3.67966;6.092203333;8.343903333;50.45954333;32.49194333;17.4713;3.573696667;5.662016667;27.29461667;13.07284333;7.205186667;0.161956667;0.284676667;0.19767;0.644303334;5.515123333;0.060706667;0.07347;0.119593333;0.0182;0.27197;0.108082597;4.423216667;8.538276667;0.075636667;14.95846667;-13.41313544;-0.678960644;2.38936876;0.510522994
