plotID_x,treeID,Species,N,C,CN,N_mass,C_mass,P,NP,CP,K,Mg,Ca,Na,Fe,Al,Mn,Si,forest,plotID_y,meanWD,predHeight18,predHeight20,DBH18,DBH20,TreeBA,BA per Ha,name
KBPL5,1225,Allophylus Kivuensis,4.95,46.26,9.34,49500,462600,3913.09,12.64984961,118.2185945,22556.29,3533.58,3799.04,33.43,409.01,182.87,312.65,456.2,Kahuzi,KBPL5,0.5178,12.47104212,12.09104122,19.5,20.03,0.031510319,0.196939492,Allophylus Kivuensis
KBPL5,1226,Allophylus Kivuensis,4.28,46.55,10.87,42800,465500,2331.85,18.35452538,199.6269057,13283.37,5712.93,9211.65,39.84,443.98,166.97,707.71,508.49,Kahuzi,KBPL5,0.5178,9.347006901,9.499352697,12.6,14.1,0.015614537,0.097590859,Allophylus Kivuensis
KBPL5,1252,Dombeya Goetzenii,3.5,46.17,13.21,35000,461700,2562.91,13.65635157,180.1467863,31962.47,3425.43,9398.61,41.7,782.9,481.49,299.51,420.83,Kahuzi,KBPL5,0.5,14.61385586,14.20555999,25.7,26.11,0.053543239,0.334645245,Dombeya Goetzenii
KBPL9,1262,Neoboutonia Macrocalyx,4.11,46.54,11.31,41100,465400,2853.54,14.40316239,163.0956636,12852.82,4787.2,8825.82,117.5,158.25,170.34,274.33,496.02,Kahuzi,KBPL9,0.33,18.28871734,18.07207273,40.8,41.72,0.136703457,0.854396605,Neoboutonia Macrocalyx
KBPL9,1277,Alangium Chinense,4.03,46.28,11.47,40300,462800,2855.34,14.11390587,162.0822739,18042.92,3943.36,8443.38,50.61,128.46,68.12,68.12,155.71,Kahuzi,KBPL9,0.4017,11.18525113,11.06953095,16.4,17.52,0.024107884,0.150674278,Alangium Chinense
KBPL9,1278,Alangium Chinense,4.62,45.93,9.94,46200,459300,3086.33,14.96923531,148.8175276,18052.12,4280.1,10872.03,67.94,141.7,83.47,91.23,236.81,Kahuzi,KBPL9,0.4017,11.86984612,12.52727029,18.0,21.18,0.035232447,0.220202794,Alangium Chinense
KBPL9,1279,Alangium Chinense,4.5,46.33,10.31,45000,463300,2808.1,16.02507033,164.9870019,16177.81,3965.07,11222.46,71.44,168.68,75.41,85.33,196.47,Kahuzi,KBPL9,0.4017,11.27344051,11.33544237,16.6,18.15,0.025872843,0.16170527,Alangium Chinense
KBPL9,1280,Neoboutonia Macrocalyx,3.67,46.41,12.66,36700,464100,2492.89,14.721869,186.169466,10966.09,5998.97,10264.5,138.08,242.57,272.43,313.48,621.36,Kahuzi,KBPL9,0.33,13.10974754,13.04454932,21.2,22.61,0.040150598,0.25094124,Neoboutonia Macrocalyx
KBPL9,1294,Dombeya Goetzenii,4.61,43.0,9.33,46100,430000,4048.89,11.38583661,106.2019467,45448.36,4662.35,9479.99,57.51,318.24,235.8,218.55,383.42,Kahuzi,KBPL9,0.5,15.09264477,15.33778237,27.3,29.97,0.070544699,0.440904367,Dombeya Goetzenii
KBPL9,1295,Myrianthus Holstii,2.64,45.12,17.07,26400,451200,1687.16,15.64759715,267.4316603,11764.37,3728.91,6369.27,30.5,215.42,181.11,156.32,1298.26,Kahuzi,KBPL9,0.469,15.79058203,16.50341202,29.8,34.5,0.093482235,0.584263969,Myrianthus Holstii
