plotID,region,slope,N_canopy,C_canopy,P_canopy,CN,CP_canopy,NP_canopy,K_canopy,Mg_canopy,Ca_canopy,Na_canopy,Fe_canopy,Al_canopy,Mn_canopy,Si_canopy,C_g_kg,TC_bulk,N_g_kg,TN_bulk,P_avail,P_g_kg,CN_soil,NP_soil,CP_soil,CEC,bases_in_CEC,ECEC,bases_in_ECEC,exch_bases_Mg,exch_bases_Ca,exch_bases_K,exch_base,exch_acidity_Al,pH_KCL,Ca_soil,K_soil,Mg_soil,Na_soil,TRB_soil,clay,silt,sand,TPI,TWI,LS_factor,CTI,SPI,aspect,curvature,slope_per
UPL8,Felsic,MS,2.953533013,45.07054525,1159.616211,15.48604183,395.5704711,26.04450283,10664.11464,2133.505586,8173.479018,57.92001883,180.2787789,121.6668427,506.0552282,691.9352914,28.02533333,2.802533333,2.46783333,0.246783333,33.01101333,0.46262037,11.35625044,5.334467503,60.57954891,17.67807333,47.19930667,11.33517,60.10553,1.426923333,7.147416667,0.293036667,8.867376667,1.596093333,4.44372,0.142486667,0.0932,0.146703333,0.018083333,0.400473333,36.99185667,51.48594333,13.25328,-3.5057399,6.4470401,18.7313995,5.3752098,0.597372,125.5749969,-0.520141,33.2369003
UPL9,Felsic,MS,2.874776378,46.0207802,1530.49203,16.40604181,353.7321376,21.68530444,14249.98157,2579.187228,10267.17808,72.22847449,196.8632755,134.1490251,379.0323052,674.6743481,27.45073333,2.745073333,2.43796667,0.243796667,31.0653,0.95510214,11.2596836,2.552571676,28.74114943,19.74824667,52.26397667,13.00458667,73.05736,1.65722,9.32104,0.357393333,11.33565333,0.631116667,4.853806667,0.20397,0.1111,0.196383333,0.020803333,0.532256666,38.42256667,51.18039,12.14035333,-0.643677,6.7672801,23.0610008,6.3562002,0.759618,106.9729996,-0.136226,34.4700012
NPL1,Mixed,PL,1.865664205,49.35952905,986.3708643,26.50568525,544.5343535,20.55430747,7222.998032,2195.00415,6263.890272,40.04274959,232.0531408,270.0814504,399.908637,728.0867474,50.8699,5.08699,3.4111,0.34111,1.012113333,0.81109475,14.91304858,4.205550585,62.71758016,29.04519,0,7.441396667,1.719676667,0.008613333,0,0.082126667,0.09074,6.05178,3.323043333,0,0.039846667,0.09436,0.00096,0.135166667,37.61029667,50.97853,11.22621333,0.229858,6.2041602,9.4211998,4.5198598,0.267194,331.5209961,-0.0247498,24.2136993
NPL10,Mixed,V,1.807623698,49.59605608,838.9449353,27.90793872,611.9889384,22.16007555,5981.994373,2050.951458,4689.675378,20.06623916,193.004272,213.0192478,255.5591421,404.1500743,40.00723333,4.000723333,2.22613333,0.222613333,23.50895667,0.23698402,17.97162497,9.393601012,168.8182745,11.29243,9.415843333,5.304733333,8.59239,0.44261,0.463826667,0.090443333,0.99688,2.6888,3.256736667,0.03642,0.059946667,0.07701,0.00594,0.179316667,21.31789333,49.19512333,29.48458667,-5.9157701,8.1281404,8.6711502,19.0132999,0.385724,333.9389954,-1.26325,14.1433001
NPL11,Mixed,V,2.028755437,48.29227038,1042.96062,24.58971586,530.5828309,21.71432364,9551.190572,2032.763814,4664.865487,37.18492757,259.9171918,282.1684875,181.4079793,519.0970635,65.5717,6.55717,3.32901429,0.332901429,31.66524,0.04852846,19.6970317,68.59921559,1351.200924,10.29950429,12.65568286,11.93021,11.86023286,0.179038571,3.287512857,0.046375714,3.512927142,3.645185714,3.143937143,0.015514286,0.025128571,0.058424286,0.013514286,0.112581429,24.12364143,70.05127286,3.794558571,-4.4176002,7.8240099,3.7358601,20.0930996,0.188479,317.7449951,-0.755476,9.5851898
NPL12,Mixed,V,1.623876689,47.84844589,847.88958,30.27868513,595.2909141,19.65357744,6375.484886,2464.788076,5105.237132,20.5353713,218.8914852,198.2818802,270.9826314,460.3557581,25.8022,2.58022,1.54066667,0.154066667,28.33443,0.10698379,16.74742532,14.4009356,241.1785935,6.700453333,28.28824667,7.566916667,24.75241333,0.816923333,2.636093333,0.240013333,3.693029999,1.756443333,3.492256667,0.080823333,0.0475,0.083983333,0.024773333,0.237079999,21.29187,57.40248,18.39785333,-1.9464099,16.7745991,0.599342,1429.329956,0.0446745,315,0,0.459067
NPL2,Mixed,PL,1.961264746,49.12650541,928.3330613,21.2588791,545.3210309,21.65585733,6103.422351,1884.451103,4445.066892,21.15158492,182.5314845,363.1876023,246.4043995,515.1753883,45.9969,4.59969,2.9569,0.29569,1.958543333,0.91921469,15.55578477,3.216767565,50.03934391,28.39927333,1.83051,7.50177,8.005103333,0.204883333,0,0.141426667,0.34631,6.169086667,3.298983333,0.025773333,0.047136667,0.09108,0.012126667,0.176116667,49.82162333,35.93177333,15.40580333,5.5057402,5.1511302,0,-39.5834999,-1.20548,128.7070007,0.544932,17.3511009
NPL3,Mixed,PL,2.107576284,47.8170036,1213.741387,23.03293158,418.9192507,18.89800186,11347.92643,2045.256709,4009.768934,25.29655135,211.0578757,266.5523639,199.256935,922.7915904,46.91933333,4.691933333,2.96603333,0.296603333,2.657986667,0.78266348,15.8188827,3.789666192,59.94828496,26.69817,4.34252,6.940416667,11.61912,0.289016667,0.142613333,0.17529,0.60692,6.34459,3.41962,0.02972,0.05223,0.087973333,0.016226667,0.18615,47.68155,36.87081333,14.59801,8.9272499,5.6799502,0,-66.9030991,-0.713227,205.5189972,1.21371,10.2250004
NPL4,Mixed,UP,1.841848437,48.32660509,1363.374964,26.5135784,446.707593,16.78584973,7280.973783,1943.684958,4079.847661,25.17974692,275.8460039,366.0479971,292.9682201,476.1892294,31.09326667,3.109326667,1.6578,0.16578,0,1.37478131,18.75574054,1.205864517,22.616882,4.482873333,4.369053333,4.735246667,0,0.02409,0,0.066383333,0.090473333,4.010876667,3.043793333,0.092173333,0.10619,0.063466667,0.006283333,0.268113333,45.74055667,19.28595333,41.00120333,0.674316,6.2336898,0,-115.5660019,-0.412898,124.0660019,-0.0495405,5.8773098
NPL5,Mixed,UP,1.735244838,54.54363078,792.5985288,31.31716323,699.2148817,22.33091068,6689.668092,2250.34931,4735.105513,28.46176753,231.1364655,378.9777813,415.890351,351.1717982,33.53431538,3.353431538,0.48239231,0.048239231,25.05788231,0.59769022,69.51668732,0.8070942,56.10651514,4.868263846,20.92504231,5.166861538,18.54413,0.677409231,1.195311538,0.049152308,1.921873077,1.486240769,3.746549231,0.024563077,0.042587692,0.021098462,0.023808462,0.112057693,39.78377769,12.15644462,47.09232538,0.800781,6.0139899,0,-93.0795975,-0.512648,128.8300018,0.0247498,7.3213401
NPL6,Mixed,UP,2.158060492,48.1726835,937.4405582,23.69903452,576.4495824,23.97136555,7637.133086,2048.12,5078.020949,24.83484217,246.4124467,223.1800346,392.3663444,421.653702,29.3181,2.93181,2.00686667,0.200686667,5.418663333,0.67316874,14.60889278,2.981223801,43.55237886,15.42033,3.52164,8.261313333,2.968303333,0.144206667,1.048153333,0.09515,1.28751,3.95391,3.185893333,0.05263,0.078616667,0.120913333,0,0.25216,23.92742667,54.95387333,20.88705333,-0.130249,6.47049,9.98211,5.9533,0.322931,193.6470032,-0.173371,23.1903
NPL7,Mixed,MS,2.000898266,49.93610722,968.766051,25.15466285,524.3458967,20.95311503,5979.091497,1704.779909,4364.044572,20.45078582,231.7681973,214.7381895,477.0064871,811.5145453,49.0198,4.90198,3.01863333,0.301863333,12.42955333,0.46714158,16.23907068,6.461923878,104.9356386,24.15949667,0.90272,6.261323333,3.727376667,0.015633333,0,0.069836667,0.08547,5.996823333,3.185963333,0,0.03146,0.048836667,0.003166667,0.083463334,27.85639667,60.37178,11.85859,-1.30273,6.11411,10.6062002,4.1320701,0.29227,323.1099854,0.0247634,26.4955006
NPL8,Mixed,MS,2.160780878,48.04301063,848.3897194,22.90032393,569.6031043,25.51454942,5977.081757,1841.083279,3954.119403,19.58829935,297.101983,291.3274173,725.2129328,776.0776461,59.0595,5.90595,4.56443333,0.456443333,3.51673,1.32582098,12.9390651,3.442722207,44.54560675,38.15718,0,6.332006667,1.49331,0.18196,0,0.12265,0.30461,7.096006667,3.003583333,0.015303333,0.05555,0.18212,0.005773333,0.258746666,38.15184,51.99893333,12.38513,-0.455933,12.0661001,0.241366,426.5690002,0.0339707,200.5579987,-0.0619222,0.792395
NPL9,Mixed,MS,2.220311842,46.30454642,1656.500341,22.79886183,301.6623391,15.01200202,17551.62605,1386.326543,3007.361263,49.87196827,268.2039884,251.2089661,92.56814335,452.8826895,36.7966,3.67966,2.37516667,0.237516667,6.092203333,1.08082597,15.49221807,2.197547742,34.04488884,27.29461667,5.662016667,7.205186667,13.07284333,0.161956667,0.284676667,0.19767,0.644303334,5.515123333,3.573696667,0.060706667,0.07347,0.119593333,0.0182,0.27197,50.45954333,32.49194333,17.4713,-1.38318,5.98733,7.2916698,3.06143,0.157164,160.298996,-0.0124089,22.5576
